unit master id,unit name,unit name,group id,discussion id,awaken unit id,awaken materials,attribute,collection view,style type,base class,max class,rankup,boss,summoned level,max level,base con,base atk,base def,resistance,accuracy,base speed,critical rate,critical damage,base skill,leader skill,awaken type,awaken skill,collision,roaming standby,height,animate data,attack data,dat name,texture attrib,blend alpha,cullface,scale,view scale,shadow,eft scale,center bone,head offset,thumbnail,add mesh,default effect,passive effect,rare class,rare effect,move,buff immunity,melee dist,select offset,battle effect
10204,Imp (light),임프(빛),10200,10200,10214,"[[11004,20], [11006, 15]]",4,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,44,51,40,15,0,112,15,50,"[1204, 1209]",[],2,"[0, 1214]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_2"", 2, 1075]]","[""unit_mdl_imp.dat""]",[],0,1,100,130,60,100,0,0,"[0,3,2]",[],[],[],6,"[[3004, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10205,Imp (dark),임프(어둠),10200,10200,10215,"[[11005,20], [11006, 15]]",5,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,40,55,40,15,0,113,15,50,"[1205, 1210]",[],2,"[0, 1215]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""]]","[""unit_mdl_imp.dat""]",[],0,1,100,130,60,100,0,0,"[0,4,2]",[],[],[],6,"[[3005, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10211,Imp (water),임프(물),10200,10200,-1,[],1,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,32,67,51,15,0,111,15,50,"[1201, 1206, 1211]",[],2,"[0, 1211]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_2"", 2, 1075], [""ATK_3"", 1, 300, ""DASH_1""]]","[""unit_mdl_imp_hr_water.dat""]",[],0,1,100,105,60,100,0,0,"[0,0,3]",[],[],[],6,"[[3001, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10212,Imp (Bull),임프(불),10200,10200,-1,[],2,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,47,59,44,15,0,115,15,50,"[1202, 1207, 1212]",[],2,"[0, 1212]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""], [""ATK_3"", 1, 300, ""DASH_1""]]","[""unit_mdl_imp_hr.dat""]",[],0,1,100,105,60,100,0,0,"[0,1,3]",[],[],[],6,"[[3002, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10213,Imp (wind),임프(바람),10200,10200,-1,[],3,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,34,72,44,15,0,113,15,50,"[1203, 1208, 1213]",[],2,"[0, 1213]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""], [""ATK_2"", 2, 1075]]","[""unit_mdl_imp_hr.dat""]",[],0,1,100,105,60,100,0,0,"[0,2,3]",[],[],[],6,"[[3003, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10214,Imp (light),임프(빛),10200,10200,-1,[],4,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,48,55,47,15,0,114,15,50,"[1204, 1209, 1214]",[],2,"[0, 1214]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_2"", 2, 1075], [""ATK_1"", 1, 278, ""DASH_1""]]","[""unit_mdl_imp_hr.dat""]",[],0,1,100,105,60,100,0,0,"[0,3,3]",[],[],[],6,"[[3004, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10215,Imp (dark),임프(어둠),10200,10200,-1,[],5,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,45,66,39,15,0,112,15,50,"[1205, 1210, 1215]",[],2,"[0, 1215]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""ATK_3"", 4], [""DASH_1"", 8], [""BUFF"", 5], [""STUN"", 6], [""DAMAGE"", 7]]","[[""ATK_1"", 1, 278, ""DASH_1""], [""ATK_1"", 1, 278, ""DASH_1""]]","[""unit_mdl_imp_hr.dat""]",[],0,1,100,105,60,100,0,0,"[0,4,3]",[],[],[],6,"[[3005, 1, 3]]","[[""DASH_1"", [0.0, 0.0, -0.2, -0.3, -0.4, 10.6, 13.8, 13.7]]]",[],4.5,"[0,0,0]","[[""ATK_1"", [1, 1, 0, 1, ""unit_eft_atk_imp.peft"", ""unit_eft_atk_imp.png""]], [""DASH_1"", [1, 1, 0, 1, ""unit_eft_dsh_imp.peft"", ""unit_eft_dsh_imp.png""]], [""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_imp_long.peft"", ""unit_eft_atk_imp_long.png""]]]"
10301,Pixie (water),픽시(물),10300,10300,10311,"[[11001,20], [11006, 15]]",1,"[0, 1, 1, 1, 1, 1, 1]",4,2,6,1,0,1,40,50,45,40,15,0,110,15,50,"[1301, 1306]",[],2,"[0, 1311]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""BUFF"", 2, 1150]]","[""unit_mdl_fixie.dat""]",[],0,0,100,125,50,100,0,0,"[0,0,4]",[],[],[],6,"[[2001, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10302,Pixie (Bull),픽시(불),10300,10300,10312,"[[11002,20], [11006, 15]]",2,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,37,58,40,15,0,110,15,50,"[1302, 1307]",[],2,"[0, 1312]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""ATK_2"", 2, 730]]","[""unit_mdl_fixie.dat""]",[],0,0,100,125,50,100,0,0,"[0,1,4]",[],[],[],6,"[[2002, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10303,Pixie (wind),픽시(바람),10300,10300,10313,"[[11003,20], [11006, 15]]",3,"[0, 1, 1, 1, 1, 1, 1]",4,2,6,1,0,1,40,38,51,46,15,0,110,15,50,"[1303, 1308]",[],2,"[0, 1313]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""BUFF"", 2, 1150]]","[""unit_mdl_fixie.dat""]",[],0,0,100,125,50,100,0,0,"[0,2,4]",[],[],[],6,"[[2003, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10304,Pixie (light),픽시(빛),10300,10300,10314,"[[11004,20], [11006, 15]]",4,"[0, 1, 1, 1, 1, 1, 1]",4,2,6,1,0,1,40,44,50,41,15,0,110,15,50,"[1304, 1309]",[],2,"[0, 1314]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""ATK_2"", 2, 730]]","[""unit_mdl_fixie.dat""]",[],0,0,100,125,50,100,0,0,"[0,3,4]",[],[],[],6,"[[2004, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10305,Pixie (dark),픽시(어둠),10300,10300,10315,"[[11005,20], [11006, 15]]",5,"[0, 1, 1, 1, 1, 1, 1]",1,2,6,1,0,1,40,42,54,39,15,0,110,15,50,"[1305, 1310]",[],2,"[0, 1315]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""BUFF"", 2, 1150]]","[""unit_mdl_fixie.dat""]",[],0,0,100,125,50,100,0,0,"[0,4,4]",[],[],[],6,"[[2005, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10311,Pixie (water),픽시(물),10300,10300,-1,[],1,"[0, 1, 1, 1, 1, 1, 1]",4,3,6,1,0,1,40,56,50,44,15,0,111,15,50,"[1301, 1306, 1311]",[],2,"[0, 1311]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""BUFF"", 2, 1150], [""ATK_2"", 2, 730]]","[""unit_mdl_fixie_hr.dat""]",[],0,0,100,125,50,100,0,0,"[1,0,0]",[],[],[],6,"[[3001, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10312,Pixie (Bull),픽시(불),10300,10300,-1,[],2,"[0, 1, 1, 1, 1, 1, 1]",1,3,6,1,0,1,40,41,67,42,15,0,111,15,50,"[1302, 1307, 1312]",[],2,"[0, 1312]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""ATK_2"", 2, 730], [""ATK_2"", 2, 730]]","[""unit_mdl_fixie_hr.dat""]",[],0,0,100,125,50,100,0,0,"[1,1,0]",[],[],[],6,"[[3002, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
10313,Pixie (wind),픽시(바람),10300,10300,-1,[],3,"[0, 1, 1, 1, 1, 1, 1]",4,3,6,1,0,1,40,44,55,51,15,0,111,15,50,"[1303, 1308, 1313]",[],2,"[0, 1313]",1,1,0,"[[""WAITING"", 0], [""MOVE"", 1], [""ATK_1"", 2], [""ATK_2"", 3], [""DASH_1"", 7], [""BUFF"", 4], [""STUN"", 5], [""DAMAGE"", 6]]","[[""ATK_2"", 2, 730], [""BUFF"", 2, 1150], [""BUFF"", 2, 1150]]","[""unit_mdl_fixie_hr.dat""]",[],0,0,100,125,50,100,0,0,"[1,2,0]",[],[],[],6,"[[3003, 1, 3]]","[[""DASH_1"", [0.1, 0, 0.4, 4.6, 11.6, 15.0, 15.6, 16.0]]]",[],2.5,"[0,0,0]","[[""ATK_2"", [1, 1, 0, 1, ""unit_eft_atk_fixie.peft"", ""unit_eft_atk_fixie.png""]]]"
